pair,time
SHIB_USDT,2024-02-26 06:01:06
BOME_USDT,2024-02-26 06:01:06
FTM_USDT,2024-02-26 06:01:06
TON_USDT,2024-02-26 06:01:06
YGG_USDT,2024-02-26 06:01:06
